:START_ID(HotelChain),:END_ID(Hotel)
1,1
1,2
1,3
1,4
1,5
1,6
1,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
3,15
3,16
3,17
3,18
3,19
3,20
3,21
4,22
4,23
4,24
4,25
4,26
4,27
4,28
4,29
5,30
5,31
5,32
5,33
5,34
5,35
5,36
5,37
6,38
6,39
6,40
6,41
6,42
7,43
7,44
7,45
7,46
7,47
8,48
8,49
8,50
8,51
8,52
8,53
8,54
9,55
9,56
9,57
9,58
9,59
10,60
10,61
10,62
10,63
10,64
10,65
10,66
10,67
11,68
11,69
11,70
11,71
11,72
11,73
12,74
12,75
12,76
12,77
12,78
12,79
12,80
12,81
13,82
13,83
13,84
13,85
13,86
13,87
13,88
13,89
14,90
14,91
14,92
14,93
14,94
14,95
14,96
15,97
15,98
15,99
15,100
15,101
15,102
15,103
15,104
16,105
16,106
16,107
16,108
16,109
17,110
17,111
17,112
17,113
17,114
18,115
18,116
18,117
18,118
18,119
19,120
19,121
19,122
19,123
19,124
19,125
20,126
20,127
20,128
20,129
20,130
20,131
20,132
21,133
21,134
21,135
21,136
21,137
21,138
21,139
22,140
22,141
22,142
22,143
22,144
23,145
23,146
23,147
23,148
23,149
23,150
23,151
23,152
24,153
24,154
24,155
24,156
24,157
25,158
25,159
25,160
25,161
25,162
25,163
